date,income,expense,balance,description
2023-01-02,4551.29,0.0,10174.55,Salary
2023-01-05,0.0,59.1,10115.45,ATM Withdrawal
2023-01-10,0.0,40.5,10074.95,ATM Withdrawal
2023-01-12,0.0,114.49,9960.46,Bill Payment
2023-01-14,0.0,22.36,9938.1,Bill Payment
2023-01-16,0.0,87.74,9850.36,Bill Payment
2023-01-17,0.0,52.78,9797.58,Bill Payment
2023-01-26,0.0,51.84,9745.74,ATM Withdrawal
2023-01-27,8.53,0.0,9754.27,Interest Payment
2023-01-28,0.0,1969.22,15455.76,Credit Card Payment
2023-01-31,0.0,85.16,9669.11,Bill Payment
2023-02-02,4597.81,0.0,14266.92,Salary
2023-02-02,0.0,130.22,14136.7,ATM Withdrawal
2023-02-10,0.0,135.79,14000.91,ATM Withdrawal
2023-02-13,0.0,149.45,13851.46,ATM Withdrawal
2023-02-14,0.0,111.16,13740.3,ATM Withdrawal
2023-02-17,0.0,31.08,13709.22,Bill Payment
2023-02-24,0.0,69.64,13639.58,ATM Withdrawal
2023-02-27,3.75,0.0,13643.33,Interest Payment
2023-02-28,0.0,84.9,13558.43,Bill Payment
2023-02-28,0.0,2902.14,12553.62,Credit Card Payment
2023-03-01,0.0,115.15,13443.28,Bill Payment
2023-03-02,4694.97,0.0,18138.25,Salary
2023-03-02,0.0,61.32,18076.93,ATM Withdrawal
2023-03-04,0.0,78.9,17998.03,ATM Withdrawal
2023-03-06,0.0,36.9,17961.13,Loan Payment
2023-03-10,0.0,101.06,17860.07,Bill Payment
2023-03-15,0.0,114.39,17745.68,Wire Transfer
2023-03-17,0.0,63.72,17681.96,Bill Payment
2023-03-19,0.0,53.38,17628.58,Bill Payment
2023-03-21,0.0,112.33,17516.25,Bill Payment
2023-03-27,8.52,0.0,17524.77,Interest Payment
2023-03-28,0.0,72.19,17452.58,ATM Withdrawal
2023-03-28,0.0,965.89,11587.73,Credit Card Payment
2023-03-31,0.0,27.6,17424.98,ATM Withdrawal
2023-04-28,0.0,119.33,11468.4,Credit Card Payment
