date,business_name,amount_of_deal,amount_paid,category
2023-01-04,Uber,291.01,291.01,Travel
2023-01-08,Adidas,127.13,127.13,Clothing
2023-01-09,"Gonzales, Cummings and Richardson",78.43,78.43,Groceries
2023-01-12,Delta Airlines,319.76,319.76,Travel
2023-01-13,"Pugh, Holmes and Dawson",38.49,19.25,Dining
2023-01-16,"Oconnor, Berg and Zuniga",121.14,121.14,Electronics
2023-01-18,Butler-Rivera,77.01,77.01,Health
2023-01-19,Cummings PLC,236.1,78.7,Electronics
2023-01-27,Hines Group,16.21,16.21,Dining
2023-01-28,Perkins-Sullivan,989.56,329.85,Electronics
2023-01-29,Starbucks,40.98,40.98,Dining
2023-02-03,Nike,68.54,22.85,Clothing
2023-02-07,Delta Airlines,251.22,125.61,Travel
2023-02-08,IKEA,40.45,40.45,Home
2023-02-09,Target,76.01,76.01,Groceries
2023-02-10,Jackson-Rivera,35.84,35.84,Health
2023-02-15,McDonald's,25.08,25.08,Dining
2023-02-16,Walgreens,41.61,41.61,Health
2023-02-17,Graham Inc,54.44,54.44,Clothing
2023-02-19,H&M,137.93,45.98,Clothing
2023-02-20,"Houston, Robles and Brown",30.79,30.79,Clothing
2023-02-21,Uber,337.8,337.8,Travel
2023-02-23,Walmart,128.17,128.17,Groceries
2023-02-24,Harris Ltd,31.68,15.84,Health
2023-02-26,IKEA,131.23,131.23,Home
2023-02-27,Zara,149.0,149.0,Clothing
2023-03-02,Uber,498.11,498.11,Travel
2023-03-04,Walgreens,68.84,68.84,Health
2023-03-05,McDonald's,44.26,44.26,Dining
2023-03-06,"Rose, Henson and Rowland",86.99,86.99,Clothing
2023-03-07,IKEA,381.05,381.05,Home
2023-03-09,Walmart,99.19,99.19,Groceries
2023-03-13,McDonald's,48.39,48.39,Dining
2023-03-14,Delta Airlines,339.78,339.78,Travel
2023-03-22,"Reid, Roberts and Vasquez",63.64,31.82,Health
2023-03-23,"Collins, Park and Waters",58.07,58.07,Entertainment
