date,business_name,amount_of_deal,amount_paid,category
2023-01-01,CVS,60.24,60.24,Health
2023-01-02,Nike,91.19,91.19,Clothing
2023-01-03,"Fox, Smith and Sanchez",42.7,42.7,Groceries
2023-01-07,H&M,90.32,90.32,Clothing
2023-01-19,Uber,95.91,95.91,Travel
2023-01-25,Walgreens,21.14,21.14,Health
2023-01-27,Walgreens,10.64,10.64,Health
2023-01-29,IKEA,249.28,249.28,Home
2023-02-04,Nike,35.8,35.8,Clothing
2023-02-08,IKEA,51.59,51.59,Home
2023-02-11,H&M,41.57,41.57,Clothing
2023-02-15,Walmart,59.89,19.96,Groceries
2023-02-16,Blackwell Ltd,25.72,25.72,Dining
2023-02-18,"Hall, Holmes and Bright",24.13,8.04,Health
2023-02-20,"Mitchell, Lynch and Mendoza",69.95,69.95,Health
2023-02-21,McDonald's,19.67,19.67,Dining
2023-02-22,Uber,446.63,148.88,Travel
2023-02-23,Target,61.52,61.52,Groceries
2023-02-25,McDonald's,53.87,53.87,Dining
2023-02-26,Amazon,996.35,996.35,Electronics
2023-02-27,Cox Inc,72.65,72.65,Groceries
2023-02-28,Apple,275.76,137.88,Electronics
2023-03-02,H&M,136.32,68.16,Clothing
2023-03-03,Apple,112.91,112.91,Electronics
2023-03-05,Adidas,32.63,32.63,Clothing
2023-03-06,H&M,169.01,169.01,Clothing
2023-03-08,Lawrence-Parker,24.58,24.58,Groceries
2023-03-09,Amazon,832.64,832.64,Electronics
2023-03-15,Moore Ltd,139.48,139.48,Travel
2023-03-17,Adams and Sons,123.2,123.2,Groceries
2023-03-20,Apple,445.06,445.06,Electronics
2023-03-26,Mitchell-Martinez,184.53,184.53,Travel
2023-03-27,CVS,57.89,57.89,Health
2023-03-28,Delta Airlines,219.83,109.92,Travel
2023-03-31,Delta Airlines,411.55,411.55,Travel
