date,business_name,amount_of_deal,amount_paid,category
2023-01-08,McDonald's,12.18,6.09,Dining
2023-01-12,"Gutierrez, Drake and Williams",12.44,12.44,Dining
2023-01-14,Adidas,31.95,15.97,Clothing
2023-01-15,Walgreens,25.12,25.12,Health
2023-01-22,Walmart,79.4,79.4,Groceries
2023-01-23,H&M,162.64,162.64,Clothing
2023-01-26,H&M,163.56,54.52,Clothing
2023-02-04,"Henderson, Diaz and Davis",95.62,47.81,Health
2023-02-05,Adidas,173.62,173.62,Clothing
2023-02-06,Apple,547.0,273.5,Electronics
2023-02-11,Walgreens,24.48,24.48,Health
2023-02-13,Nike,99.79,33.26,Clothing
2023-02-15,Walgreens,60.3,30.15,Health
2023-02-16,IKEA,32.81,32.81,Home
2023-02-18,Amazon,162.91,162.91,Electronics
2023-02-19,Uber,394.26,131.42,Travel
2023-02-20,Zara,58.55,19.52,Clothing
2023-02-21,Frye-Tran,314.77,157.38,Home
2023-02-22,Diaz-Hall,439.44,219.72,Travel
2023-02-23,Apple,391.95,391.95,Electronics
2023-02-26,Nike,197.28,197.28,Clothing
2023-02-27,"Choi, Armstrong and Hernandez",48.89,48.89,Health
2023-03-06,Uber,490.89,163.63,Travel
2023-03-07,Amazon,271.81,271.81,Electronics
2023-03-08,Adidas,60.08,60.08,Clothing
2023-03-10,H&M,161.45,161.45,Clothing
2023-03-13,H&M,196.01,196.01,Clothing
2023-03-14,"Wilson, Davis and Shannon",29.78,29.78,Dining
2023-03-16,Walmart,30.32,30.32,Groceries
2023-03-18,H&M,131.92,131.92,Clothing
2023-03-20,Walgreens,42.19,42.19,Health
2023-03-22,"Hardy, Hoffman and Obrien",74.86,74.86,Home
2023-03-23,Delta Airlines,336.09,336.09,Travel
2023-03-26,Parker LLC,578.04,578.04,Electronics
2023-03-27,Bishop Ltd,41.2,41.2,Entertainment
