date,income,expense,balance,description
2023-01-01,3369.78,0.0,12292.81,Salary
2023-01-03,0.0,44.42,12248.39,ATM Withdrawal
2023-01-11,0.0,69.37,12179.02,ATM Withdrawal
2023-01-17,0.0,49.48,12129.54,ATM Withdrawal
2023-01-19,0.0,79.95,12049.59,Wire Transfer
2023-01-21,7.38,0.0,12056.97,Interest Payment
2023-01-25,0.0,115.6,11941.37,ATM Withdrawal
2023-01-26,0.0,43.69,11897.68,Bill Payment
2023-01-27,0.0,110.0,11787.68,Bill Payment
2023-01-28,0.0,1092.42,15294.01,Credit Card Payment
2023-01-30,0.0,43.15,11744.53,Loan Payment
2023-01-31,0.0,125.67,11618.86,ATM Withdrawal
2023-02-01,3329.98,0.0,14948.84,Salary
2023-02-02,0.0,42.92,14905.92,Bill Payment
2023-02-04,0.0,90.86,14815.06,ATM Withdrawal
2023-02-05,0.0,65.33,14749.73,Bill Payment
2023-02-08,0.0,86.4,14663.33,Bill Payment
2023-02-10,0.0,90.0,14573.33,ATM Withdrawal
2023-02-12,0.0,52.8,14520.53,ATM Withdrawal
2023-02-21,2.56,0.0,14523.09,Interest Payment
2023-02-23,0.0,62.96,14460.13,ATM Withdrawal
2023-02-28,0.0,122.42,14337.71,Bill Payment
2023-02-28,0.0,2020.37,13273.64,Credit Card Payment
2023-03-01,3305.43,0.0,17643.14,Salary
2023-03-01,0.0,47.1,17596.04,ATM Withdrawal
2023-03-05,0.0,125.86,17470.18,Wire Transfer
2023-03-09,0.0,109.85,17360.33,Bill Payment
2023-03-13,0.0,96.74,17263.59,Loan Payment
2023-03-17,0.0,34.16,17229.43,ATM Withdrawal
2023-03-18,0.0,34.15,17195.28,ATM Withdrawal
2023-03-19,0.0,135.42,17059.86,Bill Payment
2023-03-20,0.0,121.02,16938.84,Wire Transfer
2023-03-21,5.23,0.0,16944.07,Interest Payment
2023-03-21,0.0,26.25,16917.82,Bill Payment
2023-03-24,0.0,41.57,16876.25,Bill Payment
2023-03-25,0.0,129.06,16747.19,Wire Transfer
2023-03-26,0.0,126.66,16620.53,Bill Payment
2023-03-28,0.0,129.87,16490.66,Wire Transfer
2023-03-28,0.0,2088.56,11185.08,Credit Card Payment
2023-03-30,0.0,104.23,16386.43,Loan Payment
2023-04-28,0.0,182.79,11002.29,Credit Card Payment
2023-05-28,0.0,41.1,10961.19,Credit Card Payment
