date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Apple,785.21,785.21,Electronics
2023-01-04,IKEA,394.57,197.28,Home
2023-01-05,Delta Airlines,192.56,192.56,Travel
2023-01-06,Knight-Johnson,225.58,225.58,Travel
2023-01-09,Washington-Payne,138.11,138.11,Groceries
2023-01-10,Amazon,492.39,492.39,Electronics
2023-01-13,Apple,700.85,700.85,Electronics
2023-01-14,Molina Ltd,217.93,217.93,Travel
2023-01-15,"Davis, Doyle and Perez",760.57,760.57,Electronics
2023-01-18,McDonald's,32.74,32.74,Dining
2023-01-19,Uber,93.15,93.15,Travel
2023-01-23,Walmart,136.69,136.69,Groceries
2023-01-24,Walmart,49.04,49.04,Groceries
2023-01-25,Lee-Evans,19.58,19.58,Dining
2023-01-26,Zara,68.21,68.21,Clothing
2023-01-29,Delta Airlines,377.57,377.57,Travel
2023-01-30,Target,41.6,41.6,Groceries
2023-01-31,Zara,196.11,196.11,Clothing
2023-02-02,"Lopez, Lopez and Lindsey",34.63,34.63,Health
2023-02-04,Chandler Group,283.3,94.43,Home
2023-02-05,McDonald's,29.84,29.84,Dining
2023-02-06,CVS,30.7,30.7,Health
2023-02-11,Gonzalez PLC,92.42,92.42,Health
2023-02-12,Walmart,134.81,44.94,Groceries
2023-02-13,Walmart,66.49,66.49,Groceries
2023-02-14,Delta Airlines,399.05,399.05,Travel
2023-02-17,Summers-Medina,366.59,366.59,Home
2023-02-18,Adidas,72.07,72.07,Clothing
2023-02-19,Brooks-Hernandez,432.22,216.11,Travel
2023-02-20,Target,140.01,70.0,Groceries
2023-02-22,"Dennis, Shelton and Wilson",49.11,49.11,Groceries
2023-02-23,Zara,183.44,183.44,Clothing
2023-02-24,Walgreens,99.21,99.21,Health
2023-03-02,Adidas,162.74,162.74,Clothing
2023-03-05,"Thompson, Lewis and Barnett",734.54,734.54,Electronics
2023-03-06,Target,149.11,149.11,Groceries
2023-03-07,Sanchez-Meyer,31.46,31.46,Groceries
2023-03-11,Walmart,143.02,143.02,Groceries
2023-03-15,McDonald's,47.37,47.37,Dining
2023-03-17,Rodriguez-Brandt,480.42,240.21,Travel
2023-03-22,Garcia-Thompson,391.54,391.54,Home
2023-03-24,"Smith, Terry and Parker",313.62,156.81,Electronics
2023-03-27,Haley-Moreno,235.83,235.83,Home
2023-03-28,CVS,44.87,44.87,Health
2023-03-29,Uber,71.92,71.92,Travel
2023-03-31,Nolan-Walker,128.76,128.76,Clothing
