date,business_name,amount_of_deal,amount_paid,category
2023-01-02,IKEA,361.52,361.52,Home
2023-01-03,Leon-Barrett,51.73,51.73,Entertainment
2023-01-05,Nike,84.96,84.96,Clothing
2023-01-11,Amazon,666.46,666.46,Electronics
2023-01-17,Starbucks,38.51,12.84,Dining
2023-01-18,"Hill, Good and Gomez",969.08,969.08,Electronics
2023-01-21,IKEA,270.45,135.22,Home
2023-01-24,Ramirez-Sweeney,42.81,42.81,Clothing
2023-01-25,Adidas,79.2,79.2,Clothing
2023-01-28,CVS,12.53,12.53,Health
2023-01-29,Elliott-Vega,191.58,191.58,Home
2023-01-31,Walgreens,60.9,60.9,Health
2023-02-06,IKEA,115.95,115.95,Home
2023-02-08,IKEA,293.07,293.07,Home
2023-02-15,Apple,461.47,230.74,Electronics
2023-02-16,H&M,48.02,24.01,Clothing
2023-02-17,Miller Inc,98.44,98.44,Clothing
2023-02-18,CVS,63.68,21.23,Health
2023-02-19,Adidas,134.38,134.38,Clothing
2023-02-24,IKEA,201.22,67.07,Home
2023-02-25,CVS,83.23,83.23,Health
2023-03-02,Uber,170.85,170.85,Travel
2023-03-03,Apple,364.53,364.53,Electronics
2023-03-08,Palmer-Norris,58.63,58.63,Dining
2023-03-11,Starbucks,28.05,28.05,Dining
2023-03-14,H&M,121.63,40.54,Clothing
2023-03-16,Uber,491.81,245.91,Travel
2023-03-17,Walgreens,91.98,91.98,Health
2023-03-21,Apple,440.48,440.48,Electronics
2023-03-22,"Peterson, Perez and King",98.47,98.47,Clothing
2023-03-23,Parker-Ellis,80.48,80.48,Groceries
2023-03-29,Nike,78.46,39.23,Clothing
2023-03-30,Walgreens,75.05,75.05,Health
