date,business_name,amount_of_deal,amount_paid,category
2023-01-03,Target,114.55,114.55,Groceries
2023-01-07,CVS,44.49,44.49,Health
2023-01-12,Starbucks,14.11,14.11,Dining
2023-01-18,Starbucks,45.94,45.94,Dining
2023-01-22,Amazon,548.55,548.55,Electronics
2023-01-25,McDonald's,34.8,34.8,Dining
2023-01-31,Walmart,61.28,61.28,Groceries
2023-02-03,H&M,118.24,118.24,Clothing
2023-02-06,CVS,83.36,27.79,Health
2023-02-07,Delta Airlines,318.33,159.16,Travel
2023-02-08,Starbucks,24.38,24.38,Dining
2023-02-12,Adidas,37.66,37.66,Clothing
2023-02-14,McDonald's,31.37,31.37,Dining
2023-02-16,Smith LLC,228.04,76.01,Travel
2023-02-21,Strickland Inc,57.03,57.03,Groceries
2023-02-27,Adidas,80.88,80.88,Clothing
2023-03-01,Nike,114.87,114.87,Clothing
2023-03-02,Amazon,359.8,359.8,Electronics
2023-03-03,Apple,929.89,464.94,Electronics
2023-03-06,Delta Airlines,111.8,111.8,Travel
2023-03-07,Uber,271.49,90.5,Travel
2023-03-08,Nike,189.05,189.05,Clothing
2023-03-10,Uber,392.09,392.09,Travel
2023-03-14,Target,24.0,12.0,Groceries
2023-03-15,Apple,337.45,337.45,Electronics
2023-03-16,Uber,482.72,482.72,Travel
2023-03-17,"Mueller, Bell and Fuller",397.24,397.24,Home
2023-03-18,Garcia-Stone,158.24,158.24,Clothing
2023-03-19,Zara,86.97,86.97,Clothing
2023-03-20,Sanchez-Sandoval,49.49,49.49,Health
2023-03-21,Walgreens,22.7,22.7,Health
2023-03-25,Collins-Morales,423.14,211.57,Travel
2023-03-26,Delta Airlines,55.04,18.35,Travel
2023-03-27,Zara,125.16,125.16,Clothing
2023-03-29,Amazon,333.5,333.5,Electronics
2023-03-30,Delta Airlines,439.82,439.82,Travel
