date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Potts-Davis,146.1,146.1,Groceries
2023-01-03,Benson-Woodward,665.86,665.86,Electronics
2023-01-05,Riley-Warren,147.27,147.27,Groceries
2023-01-09,CVS,28.48,28.48,Health
2023-01-12,Walgreens,12.52,12.52,Health
2023-01-17,Target,47.49,47.49,Groceries
2023-01-21,McDonald's,23.46,23.46,Dining
2023-01-22,McDonald's,23.99,23.99,Dining
2023-01-23,"Martinez, Palmer and Mendez",167.67,167.67,Home
2023-01-25,Walmart,62.88,31.44,Groceries
2023-01-28,Target,74.79,74.79,Groceries
2023-01-31,Amazon,769.13,256.38,Electronics
2023-02-02,McDonald's,52.64,52.64,Dining
2023-02-07,Zara,128.5,128.5,Clothing
2023-02-10,IKEA,347.3,115.77,Home
2023-02-13,H&M,51.97,25.98,Clothing
2023-02-15,Zara,140.79,140.79,Clothing
2023-02-16,Delta Airlines,324.75,324.75,Travel
2023-02-18,Mora LLC,290.09,145.04,Home
2023-02-19,Sanders PLC,441.87,441.87,Travel
2023-02-22,CVS,73.75,73.75,Health
2023-02-24,Wilson-Johnson,39.89,39.89,Groceries
2023-02-25,McDonald's,13.88,13.88,Dining
2023-02-27,Starbucks,39.02,39.02,Dining
2023-03-03,Starbucks,50.96,50.96,Dining
2023-03-05,"Bell, Johns and Jackson",165.66,165.66,Clothing
2023-03-08,H&M,134.63,67.31,Clothing
2023-03-13,IKEA,331.62,110.54,Home
2023-03-14,Delta Airlines,469.92,469.92,Travel
2023-03-15,Zara,46.57,46.57,Clothing
2023-03-19,Delta Airlines,309.44,154.72,Travel
2023-03-20,CVS,52.42,17.47,Health
2023-03-21,McDonald's,49.76,49.76,Dining
2023-03-23,McDonald's,47.59,15.86,Dining
2023-03-29,Blankenship Group,146.58,146.58,Clothing
