date,business_name,amount_of_deal,amount_paid,category
2023-01-01,"Rodriguez, Murphy and Jones",95.94,95.94,Home
2023-01-03,McDonald's,29.33,29.33,Dining
2023-01-07,McDonald's,50.72,25.36,Dining
2023-01-11,Walgreens,55.77,55.77,Health
2023-01-14,"Wilson, Clark and Long",48.94,48.94,Groceries
2023-01-17,Adidas,122.78,122.78,Clothing
2023-01-19,IKEA,49.25,49.25,Home
2023-01-20,"Fox, Morgan and Perez",42.7,42.7,Health
2023-01-22,IKEA,202.01,202.01,Home
2023-01-23,CVS,84.45,28.15,Health
2023-01-24,Uber,57.98,57.98,Travel
2023-01-26,Amazon,376.25,376.25,Electronics
2023-01-27,Uber,336.75,336.75,Travel
2023-01-29,IKEA,389.46,389.46,Home
2023-02-01,Target,87.23,87.23,Groceries
2023-02-02,"Phillips, Murphy and Salinas",170.36,170.36,Clothing
2023-02-12,Valencia-Allen,54.18,54.18,Groceries
2023-02-14,Nike,164.39,54.8,Clothing
2023-02-15,CVS,81.45,81.45,Health
2023-02-16,Apple,514.25,514.25,Electronics
2023-02-22,Gonzalez-Nicholson,95.64,95.64,Health
2023-02-25,Luna-Davis,120.98,60.49,Clothing
2023-02-27,Delta Airlines,474.08,474.08,Travel
2023-03-03,Target,139.61,46.54,Groceries
2023-03-12,"Benson, Stone and Smith",739.55,739.55,Electronics
2023-03-13,Brown-Livingston,130.53,43.51,Groceries
2023-03-18,Nike,173.84,173.84,Clothing
2023-03-19,King-Hernandez,231.33,231.33,Home
2023-03-22,Target,134.86,134.86,Groceries
2023-03-25,Target,98.57,98.57,Groceries
2023-03-28,Walgreens,91.61,91.61,Health
2023-03-29,Amazon,931.13,310.38,Electronics
2023-03-30,Adidas,124.87,124.87,Clothing
