date,income,expense,balance,description
2023-01-02,5795.66,0.0,9103.4,Salary
2023-01-03,0.0,147.2,8956.2,Loan Payment
2023-01-04,0.0,44.37,8911.83,Bill Payment
2023-01-06,0.0,59.25,8852.58,ATM Withdrawal
2023-01-11,0.0,29.11,8823.47,Wire Transfer
2023-01-12,0.0,36.34,8787.13,Loan Payment
2023-01-14,0.0,70.16,8716.97,ATM Withdrawal
2023-01-19,0.0,41.26,8675.71,Bill Payment
2023-01-21,3.41,0.0,8679.12,Interest Payment
2023-01-23,0.0,147.29,8531.83,Bill Payment
2023-01-24,0.0,46.19,8485.64,Wire Transfer
2023-01-27,0.0,38.58,8447.06,Bill Payment
2023-01-28,0.0,4416.17,14355.34,Credit Card Payment
2023-02-01,0.0,102.93,8344.13,Bill Payment
2023-02-02,5909.75,0.0,14253.88,Salary
2023-02-02,0.0,54.39,14199.49,Bill Payment
2023-02-08,0.0,64.99,14134.5,ATM Withdrawal
2023-02-11,0.0,62.62,14071.88,Bill Payment
2023-02-15,0.0,76.82,13995.06,ATM Withdrawal
2023-02-18,0.0,131.17,13863.89,Bill Payment
2023-02-19,0.0,66.86,13797.03,ATM Withdrawal
2023-02-20,0.0,148.52,13648.51,Wire Transfer
2023-02-21,8.4,0.0,13656.91,Interest Payment
2023-02-23,0.0,128.47,13528.44,Bill Payment
2023-02-28,0.0,122.81,13405.63,Bill Payment
2023-02-28,0.0,2413.07,11942.27,Credit Card Payment
2023-03-02,6148.47,0.0,19554.1,Salary
2023-03-03,0.0,138.77,19415.33,Bill Payment
2023-03-04,0.0,128.64,19286.69,Bill Payment
2023-03-11,0.0,57.55,19229.14,Bill Payment
2023-03-14,0.0,82.59,19146.55,Bill Payment
2023-03-17,0.0,93.41,19053.14,Bill Payment
2023-03-21,5.1,0.0,19058.24,Interest Payment
2023-03-21,0.0,33.6,19024.64,Wire Transfer
2023-03-26,0.0,102.73,18921.91,Bill Payment
2023-03-28,0.0,2117.37,9824.9,Credit Card Payment
2023-03-29,0.0,76.56,18845.35,Wire Transfer
2023-03-30,0.0,73.84,18771.51,Wire Transfer
2023-04-28,0.0,108.14,9716.76,Credit Card Payment
2023-05-28,0.0,40.54,9676.22,Credit Card Payment
