date,income,expense,balance,description
2023-01-04,6750.96,0.0,16503.16,Salary
2023-01-14,0.0,38.68,16464.48,Wire Transfer
2023-01-19,0.0,123.65,16340.83,ATM Withdrawal
2023-01-20,8.21,0.0,16349.04,Interest Payment
2023-01-20,0.0,28.99,16320.05,ATM Withdrawal
2023-01-22,0.0,98.96,16221.09,Bill Payment
2023-01-28,0.0,2864.76,25789.47,Credit Card Payment
2023-01-29,0.0,61.84,16159.25,Bill Payment
2023-02-02,0.0,147.74,16011.51,ATM Withdrawal
2023-02-03,0.0,39.13,15972.38,Wire Transfer
2023-02-04,6998.47,0.0,22970.85,Salary
2023-02-07,0.0,49.56,22921.29,Bill Payment
2023-02-09,0.0,60.14,22861.15,Bill Payment
2023-02-10,0.0,138.18,22722.97,Bill Payment
2023-02-17,0.0,87.13,22635.84,ATM Withdrawal
2023-02-18,0.0,20.32,22615.52,Bill Payment
2023-02-19,0.0,145.66,22469.86,Wire Transfer
2023-02-20,8.11,0.0,22477.97,Interest Payment
2023-02-21,0.0,39.07,22438.9,ATM Withdrawal
2023-02-28,0.0,1445.4,24344.07,Credit Card Payment
2023-03-01,0.0,80.58,22358.32,Bill Payment
2023-03-04,6800.08,0.0,29158.4,Salary
2023-03-10,0.0,22.97,29135.43,ATM Withdrawal
2023-03-12,0.0,134.2,29001.23,Bill Payment
2023-03-14,0.0,119.71,28881.52,Wire Transfer
2023-03-16,0.0,35.39,28846.13,Bill Payment
2023-03-17,0.0,137.69,28708.44,Bill Payment
2023-03-20,8.92,0.0,28717.36,Interest Payment
2023-03-21,0.0,33.2,28684.16,ATM Withdrawal
2023-03-27,0.0,29.93,28654.23,ATM Withdrawal
2023-03-28,0.0,1921.51,22422.56,Credit Card Payment
2023-04-28,0.0,389.43,22033.13,Credit Card Payment
2023-05-28,0.0,58.69,21974.44,Credit Card Payment
