date,business_name,amount_of_deal,amount_paid,category
2023-01-09,IKEA,71.68,71.68,Home
2023-01-11,Walmart,69.6,69.6,Groceries
2023-01-14,"Wood, Randall and Williams",130.76,130.76,Groceries
2023-01-15,Target,98.78,49.39,Groceries
2023-01-19,Conner PLC,44.99,44.99,Dining
2023-01-20,Morgan Ltd,74.08,74.08,Entertainment
2023-01-21,Adidas,123.58,123.58,Clothing
2023-01-23,Zara,141.1,141.1,Clothing
2023-01-31,Target,79.18,79.18,Groceries
2023-02-01,Walmart,104.78,104.78,Groceries
2023-02-04,Alexander-Robinson,33.25,33.25,Entertainment
2023-02-10,Amazon,342.23,342.23,Electronics
2023-02-11,Adidas,192.09,192.09,Clothing
2023-02-15,Holland-Armstrong,39.73,19.86,Dining
2023-02-16,Adidas,70.08,70.08,Clothing
2023-02-19,Walgreens,29.31,29.31,Health
2023-02-24,English-Johnson,65.46,65.46,Health
2023-02-27,Target,104.26,104.26,Groceries
2023-02-28,Starbucks,59.51,59.51,Dining
2023-03-03,Zara,103.34,103.34,Clothing
2023-03-05,Aguirre-Nguyen,125.49,125.49,Clothing
2023-03-08,Starbucks,53.97,53.97,Dining
2023-03-19,Delta Airlines,75.37,75.37,Travel
2023-03-20,Adidas,43.2,43.2,Clothing
2023-03-23,Nike,49.46,49.46,Clothing
