date,business_name,amount_of_deal,amount_paid,category
2023-01-01,H&M,188.73,188.73,Clothing
2023-01-02,"Johnson, Nixon and Jimenez",521.54,521.54,Electronics
2023-01-03,IKEA,359.59,359.59,Home
2023-01-04,Target,136.16,136.16,Groceries
2023-01-10,Walmart,56.9,56.9,Groceries
2023-01-12,Adidas,180.0,90.0,Clothing
2023-01-19,"Butler, Johnson and Peters",127.22,127.22,Travel
2023-01-21,Thomas PLC,199.36,99.68,Electronics
2023-01-24,Adidas,120.77,120.77,Clothing
2023-01-29,Target,96.75,96.75,Groceries
2023-01-31,Nike,98.89,49.45,Clothing
2023-02-01,Uber,339.22,339.22,Travel
2023-02-02,"Lucas, Pitts and Villegas",59.34,19.78,Clothing
2023-02-03,Hudson-Harris,239.54,239.54,Home
2023-02-06,CVS,74.38,74.38,Health
2023-02-11,Bell-Smith,28.75,28.75,Entertainment
2023-02-12,Walgreens,50.39,16.8,Health
2023-02-18,IKEA,46.16,46.16,Home
2023-02-23,Harris LLC,88.24,44.12,Entertainment
2023-03-04,Starbucks,58.61,58.61,Dining
2023-03-14,Hunt-Rogers,166.29,166.29,Travel
2023-03-17,"Snyder, Hendricks and Harvey",264.16,264.16,Electronics
2023-03-20,West Ltd,83.2,83.2,Clothing
2023-03-22,Nike,77.3,77.3,Clothing
2023-03-25,Zara,123.43,123.43,Clothing
2023-03-26,CVS,53.94,53.94,Health
2023-03-29,Hill LLC,131.04,131.04,Clothing
