date,income,expense,balance,description
2023-01-03,2973.58,0.0,9760.09,Salary
2023-01-04,0.0,142.92,9617.17,Bill Payment
2023-01-05,0.0,38.89,9578.28,Bill Payment
2023-01-06,0.0,131.06,9447.22,Bill Payment
2023-01-22,0.0,27.31,9419.91,Bill Payment
2023-01-25,6.4,0.0,9426.31,Interest Payment
2023-01-28,0.0,3386.18,10224.75,Credit Card Payment
2023-01-31,0.0,105.38,9320.93,Wire Transfer
2023-02-01,0.0,89.07,9231.86,Wire Transfer
2023-02-02,0.0,47.88,9183.98,Wire Transfer
2023-02-03,3036.29,0.0,12220.27,Salary
2023-02-06,0.0,93.79,12126.48,Bill Payment
2023-02-07,0.0,113.95,12012.53,Wire Transfer
2023-02-10,0.0,95.24,11917.29,Wire Transfer
2023-02-16,0.0,73.93,11843.36,ATM Withdrawal
2023-02-19,0.0,128.67,11714.69,ATM Withdrawal
2023-02-20,0.0,29.33,11685.36,ATM Withdrawal
2023-02-21,0.0,111.5,11573.86,Bill Payment
2023-02-25,2.28,0.0,11576.14,Interest Payment
2023-02-25,0.0,128.09,11448.05,ATM Withdrawal
2023-02-28,0.0,1116.2,9108.55,Credit Card Payment
2023-03-02,0.0,149.3,11298.75,ATM Withdrawal
2023-03-03,2977.96,0.0,14276.71,Salary
2023-03-05,0.0,65.03,14211.68,Bill Payment
2023-03-07,0.0,94.62,14117.06,Bill Payment
2023-03-08,0.0,111.75,14005.31,Bill Payment
2023-03-11,0.0,66.54,13938.77,Bill Payment
2023-03-22,0.0,112.48,13826.29,Loan Payment
2023-03-23,0.0,87.1,13739.19,Wire Transfer
2023-03-25,2.29,0.0,13741.48,Interest Payment
2023-03-28,0.0,4205.51,4903.04,Credit Card Payment
2023-03-30,0.0,130.55,13610.93,Bill Payment
2023-04-28,0.0,190.54,4712.5,Credit Card Payment
2023-05-28,0.0,22.53,4689.97,Credit Card Payment
