date,income,expense,balance,description
2023-01-02,5803.83,0.0,7409.02,Salary
2023-01-14,0.0,125.5,7283.52,ATM Withdrawal
2023-01-16,0.0,107.06,7176.46,ATM Withdrawal
2023-01-17,0.0,106.48,7069.98,ATM Withdrawal
2023-01-22,0.0,109.79,6960.19,ATM Withdrawal
2023-01-27,8.27,0.0,6968.46,Interest Payment
2023-01-27,0.0,120.71,6847.75,ATM Withdrawal
2023-01-28,0.0,2616.59,13869.37,Credit Card Payment
2023-01-29,0.0,133.77,6713.98,ATM Withdrawal
2023-02-02,5537.14,0.0,12251.12,Salary
2023-02-03,0.0,86.94,12164.18,ATM Withdrawal
2023-02-06,0.0,135.29,12028.89,Bill Payment
2023-02-08,0.0,86.17,11942.72,ATM Withdrawal
2023-02-11,0.0,110.34,11832.38,Wire Transfer
2023-02-19,0.0,48.89,11783.49,Bill Payment
2023-02-20,0.0,105.78,11677.71,Wire Transfer
2023-02-26,0.0,116.27,11561.44,Wire Transfer
2023-02-27,6.29,0.0,11567.73,Interest Payment
2023-02-27,0.0,132.88,11434.85,ATM Withdrawal
2023-02-28,0.0,30.19,11404.66,Bill Payment
2023-02-28,0.0,3193.87,10675.5,Credit Card Payment
2023-03-02,5768.36,0.0,17173.02,Salary
2023-03-04,0.0,91.38,17081.64,Bill Payment
2023-03-07,0.0,96.39,16985.25,ATM Withdrawal
2023-03-16,0.0,40.02,16945.23,Wire Transfer
2023-03-20,0.0,20.77,16924.46,Loan Payment
2023-03-23,0.0,79.78,16844.68,Bill Payment
2023-03-26,0.0,98.97,16745.71,Bill Payment
2023-03-27,2.74,0.0,16748.45,Interest Payment
2023-03-27,0.0,92.84,16655.61,ATM Withdrawal
2023-03-28,0.0,84.4,16571.21,Bill Payment
2023-03-28,0.0,2238.01,8437.49,Credit Card Payment
2023-03-30,0.0,56.71,16514.5,ATM Withdrawal
2023-03-31,0.0,28.54,16485.96,Bill Payment
2023-04-28,0.0,247.15,8190.34,Credit Card Payment
2023-05-28,0.0,247.15,7943.19,Credit Card Payment
