date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Williams-Simmons,28.95,28.95,Dining
2023-01-05,"Cobb, Wade and Delgado",37.55,18.77,Dining
2023-01-08,Starbucks,37.77,18.89,Dining
2023-01-09,Zara,153.61,153.61,Clothing
2023-01-10,Uber,263.68,263.68,Travel
2023-01-11,Mason-Walters,10.63,10.63,Health
2023-01-13,Target,128.2,128.2,Groceries
2023-01-14,"Byrd, Obrien and Molina",44.23,44.23,Health
2023-01-16,Perez Group,307.25,307.25,Travel
2023-01-17,Uber,356.58,356.58,Travel
2023-01-21,Key PLC,91.54,45.77,Health
2023-01-22,Target,144.09,144.09,Groceries
2023-01-26,Target,65.87,65.87,Groceries
2023-01-27,"Gomez, Davis and Jacobson",23.8,7.93,Health
2023-01-28,Rojas LLC,181.92,181.92,Home
2023-01-31,Walgreens,20.7,20.7,Health
2023-02-03,Burnett Inc,14.69,7.34,Entertainment
2023-02-09,Amazon,125.31,125.31,Electronics
2023-02-10,Oliver-Robinson,399.07,399.07,Home
2023-02-12,Uber,337.89,337.89,Travel
2023-02-13,"Dodson, Lin and Lynn",87.23,87.23,Health
2023-02-14,Delta Airlines,464.84,464.84,Travel
2023-02-16,Zimmerman-Garcia,314.7,104.9,Travel
2023-02-17,Walmart,68.32,68.32,Groceries
2023-02-20,McDonald's,27.46,27.46,Dining
2023-02-22,Bell-Spears,389.62,389.62,Home
2023-03-02,Hayes-Burton,111.65,111.65,Groceries
2023-03-05,"Davis, Ross and Murphy",97.42,97.42,Travel
2023-03-06,Adidas,154.14,51.38,Clothing
2023-03-12,Target,45.93,45.93,Groceries
2023-03-15,CVS,27.3,27.3,Health
2023-03-16,Apple,268.61,268.61,Electronics
2023-03-17,Zara,54.99,54.99,Clothing
2023-03-18,Starbucks,16.41,16.41,Dining
2023-03-21,Griffin and Sons,375.36,375.36,Travel
2023-03-25,Williams-Fernandez,347.33,173.66,Travel
2023-03-28,Nike,185.75,185.75,Clothing
