date,income,expense,balance,description
2023-01-01,3614.65,0.0,10796.77,Salary
2023-01-01,0.0,90.25,10706.52,Bill Payment
2023-01-02,0.0,107.35,10599.17,ATM Withdrawal
2023-01-07,0.0,126.61,10472.56,Bill Payment
2023-01-12,0.0,98.69,10373.87,Wire Transfer
2023-01-14,0.0,42.11,10331.76,Wire Transfer
2023-01-18,0.0,132.34,10199.42,ATM Withdrawal
2023-01-20,6.81,0.0,10206.23,Interest Payment
2023-01-21,0.0,30.21,10176.02,ATM Withdrawal
2023-01-22,0.0,103.25,10072.77,Bill Payment
2023-01-23,0.0,105.01,9967.76,ATM Withdrawal
2023-01-27,0.0,39.54,9928.22,Wire Transfer
2023-01-28,0.0,650.63,15069.68,Credit Card Payment
2023-01-29,0.0,135.67,9792.55,ATM Withdrawal
2023-01-30,0.0,102.44,9690.11,Wire Transfer
2023-02-01,3745.27,0.0,13435.38,Salary
2023-02-01,0.0,115.38,13320.0,Wire Transfer
2023-02-02,0.0,83.05,13236.95,Bill Payment
2023-02-06,0.0,124.92,13112.03,ATM Withdrawal
2023-02-13,0.0,120.35,12991.68,Wire Transfer
2023-02-18,0.0,139.42,12852.26,ATM Withdrawal
2023-02-20,4.15,0.0,12856.41,Interest Payment
2023-02-24,0.0,64.15,12792.26,Wire Transfer
2023-02-28,0.0,1522.7,13546.98,Credit Card Payment
2023-03-01,3748.82,0.0,16541.08,Salary
2023-03-01,0.0,129.61,16411.47,ATM Withdrawal
2023-03-12,0.0,95.66,16315.81,Bill Payment
2023-03-15,0.0,101.91,16213.9,ATM Withdrawal
2023-03-16,0.0,79.4,16134.5,Wire Transfer
2023-03-18,0.0,126.13,16008.37,Wire Transfer
2023-03-19,0.0,75.15,15933.22,ATM Withdrawal
2023-03-20,5.71,0.0,15938.93,Interest Payment
2023-03-20,0.0,131.56,15807.37,ATM Withdrawal
2023-03-28,0.0,2318.44,11228.54,Credit Card Payment
2023-03-29,0.0,20.72,15786.65,Bill Payment
2023-03-31,0.0,66.34,15720.31,Loan Payment
2023-04-28,0.0,122.67,11105.87,Credit Card Payment
