date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Zara,75.9,75.9,Clothing
2023-01-05,Murray-Lee,195.9,65.3,Clothing
2023-01-06,Apple,211.18,70.39,Electronics
2023-01-07,IKEA,254.04,254.04,Home
2023-01-15,Rivas-Nguyen,28.81,28.81,Groceries
2023-01-20,Zara,189.57,189.57,Clothing
2023-01-21,Walgreens,64.0,64.0,Health
2023-01-22,Nunez-Gregory,184.32,61.44,Clothing
2023-01-23,Starbucks,59.09,29.55,Dining
2023-01-25,Amazon,903.45,903.45,Electronics
2023-01-26,Adidas,123.59,123.59,Clothing
2023-01-28,Uber,215.44,215.44,Travel
2023-01-31,IKEA,229.92,229.92,Home
2023-02-02,Uber,57.1,57.1,Travel
2023-02-05,Walgreens,53.93,17.98,Health
2023-02-07,H&M,121.85,121.85,Clothing
2023-02-08,Delta Airlines,449.08,224.54,Travel
2023-02-10,Stewart and Sons,78.86,26.29,Health
2023-02-15,Apple,677.37,677.37,Electronics
2023-02-16,Apple,716.33,716.33,Electronics
2023-02-18,Cardenas-Fernandez,75.6,75.6,Entertainment
2023-02-20,Target,34.44,11.48,Groceries
2023-02-21,CVS,36.64,36.64,Health
2023-02-24,Adidas,150.03,150.03,Clothing
2023-02-25,"Rodriguez, Drake and Espinoza",41.49,13.83,Dining
2023-03-01,"Phillips, Williams and Jones",325.42,325.42,Home
2023-03-04,Arnold and Sons,410.17,410.17,Electronics
2023-03-08,Starbucks,47.06,47.06,Dining
2023-03-14,Hicks Group,426.82,426.82,Electronics
2023-03-17,Nike,79.26,79.26,Clothing
2023-03-18,Adidas,43.35,43.35,Clothing
2023-03-22,Target,138.26,138.26,Groceries
2023-03-23,"Hernandez, Salas and Morrison",19.78,19.78,Health
2023-03-27,Uber,234.01,234.01,Travel
2023-03-28,Olson LLC,85.51,85.51,Entertainment
2023-03-29,H&M,93.36,93.36,Clothing
2023-03-31,Hamilton-Thornton,25.44,12.72,Dining
