date,income,expense,balance,description
2023-01-01,3129.14,0.0,6689.1,Salary
2023-01-01,0.0,103.61,6585.49,ATM Withdrawal
2023-01-02,0.0,33.37,6552.12,Bill Payment
2023-01-03,0.0,39.89,6512.23,ATM Withdrawal
2023-01-08,0.0,67.29,6444.94,Bill Payment
2023-01-19,0.0,67.16,6377.78,Bill Payment
2023-01-20,9.04,0.0,6386.82,Interest Payment
2023-01-20,0.0,38.3,6348.52,Bill Payment
2023-01-21,0.0,129.39,6219.13,Bill Payment
2023-01-24,0.0,78.18,6140.95,ATM Withdrawal
2023-01-26,0.0,103.86,6037.09,Wire Transfer
2023-01-27,0.0,111.13,5925.96,ATM Withdrawal
2023-01-28,0.0,102.8,5823.16,Bill Payment
2023-01-28,0.0,4495.45,5945.41,Credit Card Payment
2023-01-30,0.0,33.27,5789.89,ATM Withdrawal
2023-02-01,3203.66,0.0,8993.55,Salary
2023-02-06,0.0,91.14,8902.41,ATM Withdrawal
2023-02-07,0.0,88.59,8813.82,ATM Withdrawal
2023-02-08,0.0,123.67,8690.15,Wire Transfer
2023-02-15,0.0,102.0,8588.15,ATM Withdrawal
2023-02-20,4.92,0.0,8593.07,Interest Payment
2023-02-21,0.0,106.2,8486.87,Wire Transfer
2023-02-25,0.0,149.79,8337.08,ATM Withdrawal
2023-02-26,0.0,98.74,8238.34,ATM Withdrawal
2023-02-28,0.0,1694.7,4250.71,Credit Card Payment
2023-03-01,3157.6,0.0,11395.94,Salary
2023-03-01,0.0,22.1,11373.84,Bill Payment
2023-03-02,0.0,90.08,11283.76,ATM Withdrawal
2023-03-03,0.0,74.44,11209.32,Bill Payment
2023-03-04,0.0,100.03,11109.29,Bill Payment
2023-03-05,0.0,65.41,11043.88,ATM Withdrawal
2023-03-11,0.0,51.59,10992.29,ATM Withdrawal
2023-03-16,0.0,52.0,10940.29,Bill Payment
2023-03-17,0.0,32.36,10907.93,ATM Withdrawal
2023-03-19,0.0,145.73,10762.2,Bill Payment
2023-03-20,9.39,0.0,10771.59,Interest Payment
2023-03-23,0.0,142.31,10629.28,Bill Payment
2023-03-25,0.0,76.37,10552.91,Bill Payment
2023-03-28,0.0,3315.61,935.1,Credit Card Payment
2023-03-29,0.0,112.05,10440.86,Bill Payment
2023-04-28,0.0,444.59,490.51,Credit Card Payment
2023-05-28,0.0,282.55,207.96,Credit Card Payment
