date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Starbucks,37.24,12.41,Dining
2023-01-02,Walgreens,94.14,94.14,Health
2023-01-04,Walgreens,85.94,85.94,Health
2023-01-08,Walgreens,79.26,26.42,Health
2023-01-10,Larsen-Hall,44.55,44.55,Home
2023-01-15,Zara,99.59,49.8,Clothing
2023-01-16,Walgreens,17.44,17.44,Health
2023-01-17,Apple,178.82,89.41,Electronics
2023-01-20,Silva Ltd,180.09,180.09,Home
2023-01-22,Amazon,784.96,784.96,Electronics
2023-01-24,Campbell-Arias,124.03,124.03,Home
2023-01-25,Starbucks,11.96,11.96,Dining
2023-01-26,Starbucks,44.31,44.31,Dining
2023-02-05,"Collins, Moore and Chavez",181.38,181.38,Clothing
2023-02-10,Nike,161.14,161.14,Clothing
2023-02-11,Nike,175.18,175.18,Clothing
2023-02-13,Amazon,352.5,352.5,Electronics
2023-02-14,Walgreens,56.64,56.64,Health
2023-02-18,Apple,249.68,124.84,Electronics
2023-02-22,"Rodriguez, Hudson and Sellers",122.65,122.65,Clothing
2023-02-24,Walgreens,52.79,52.79,Health
2023-02-25,"May, Mills and White",71.34,71.34,Health
2023-02-28,Young-Joseph,90.38,90.38,Health
2023-03-01,"Chavez, Duncan and Raymond",82.84,82.84,Health
2023-03-02,Apple,769.69,384.85,Electronics
2023-03-03,Target,122.17,122.17,Groceries
2023-03-04,Apple,766.85,383.43,Electronics
2023-03-08,CVS,68.86,34.43,Health
2023-03-09,Nike,49.63,49.63,Clothing
2023-03-10,McDonald's,48.24,48.24,Dining
2023-03-12,Williams PLC,28.91,28.91,Entertainment
2023-03-16,Brown-Taylor,13.74,13.74,Health
2023-03-19,Walgreens,84.79,84.79,Health
2023-03-21,McDonald's,50.26,50.26,Dining
2023-03-22,"Turner, Howard and Johnson",46.78,15.59,Entertainment
2023-03-24,H&M,64.49,64.49,Clothing
2023-03-26,Target,47.58,47.58,Groceries
2023-03-27,Zara,81.88,81.88,Clothing
