date,business_name,amount_of_deal,amount_paid,category
2023-01-03,Acosta Inc,387.35,193.68,Home
2023-01-04,H&M,161.57,80.78,Clothing
2023-01-06,Apple,834.31,834.31,Electronics
2023-01-11,Zara,169.19,56.4,Clothing
2023-01-12,CVS,21.89,21.89,Health
2023-01-15,Target,136.54,136.54,Groceries
2023-01-18,Delta Airlines,281.77,281.77,Travel
2023-01-21,Uber,164.15,54.72,Travel
2023-01-22,Amazon,468.11,234.06,Electronics
2023-01-29,Green-Leon,69.78,69.78,Entertainment
2023-01-30,IKEA,198.55,198.55,Home
2023-01-31,Amazon,410.55,205.28,Electronics
2023-02-01,"Patterson, Daniels and Ryan",47.62,47.62,Dining
2023-02-02,"Smith, Alexander and Johnson",134.54,134.54,Groceries
2023-02-03,Walgreens,14.18,14.18,Health
2023-02-07,H&M,169.96,169.96,Clothing
2023-02-08,"Washington, Orozco and Allen",78.86,78.86,Entertainment
2023-02-09,Collier Inc,55.88,55.88,Groceries
2023-02-10,Walmart,73.4,73.4,Groceries
2023-02-14,"Winters, Flores and Calderon",78.89,78.89,Travel
2023-02-15,Walgreens,85.03,42.52,Health
2023-02-16,Target,121.87,121.87,Groceries
2023-02-17,Uber,323.31,107.77,Travel
2023-02-18,Uber,303.27,303.27,Travel
2023-02-25,Starbucks,35.57,35.57,Dining
2023-02-26,Adidas,50.86,50.86,Clothing
2023-03-02,Nike,137.41,45.8,Clothing
2023-03-03,IKEA,230.11,230.11,Home
2023-03-04,Adidas,150.35,150.35,Clothing
2023-03-05,"Braun, Nelson and Ramirez",21.84,7.28,Groceries
2023-03-07,H&M,173.62,57.87,Clothing
2023-03-12,Kim-Morris,69.43,69.43,Travel
2023-03-17,"Johnston, Stevens and Ward",70.51,70.51,Entertainment
2023-03-19,Jackson-Diaz,42.5,42.5,Dining
2023-03-22,Williams-Montgomery,47.23,15.74,Clothing
2023-03-24,Apple,425.48,425.48,Electronics
2023-03-26,Ayala-Gutierrez,54.39,54.39,Clothing
2023-03-28,Walmart,90.32,90.32,Groceries
2023-03-30,Target,149.54,149.54,Groceries
