date,business_name,amount_of_deal,amount_paid,category
2023-01-05,H&M,72.9,72.9,Clothing
2023-01-06,Nike,176.93,176.93,Clothing
2023-01-07,Walgreens,93.73,93.73,Health
2023-01-09,Apple,180.79,180.79,Electronics
2023-01-10,Conway-Benson,50.0,50.0,Groceries
2023-01-14,Amazon,832.08,416.04,Electronics
2023-01-15,CVS,82.54,82.54,Health
2023-01-18,Nike,136.54,136.54,Clothing
2023-01-20,IKEA,291.08,291.08,Home
2023-01-22,"Vasquez, Rush and Cunningham",329.98,329.98,Travel
2023-01-26,Walgreens,76.96,25.65,Health
2023-01-27,Zara,75.54,37.77,Clothing
2023-01-28,Target,26.09,26.09,Groceries
2023-01-29,Amazon,995.0,995.0,Electronics
2023-01-31,Zara,185.83,185.83,Clothing
2023-02-03,Walgreens,59.2,59.2,Health
2023-02-04,Delta Airlines,206.2,103.1,Travel
2023-02-05,Apple,426.97,426.97,Electronics
2023-02-07,Adidas,171.69,171.69,Clothing
2023-02-08,Rodriguez-Willis,31.45,31.45,Dining
2023-02-11,CVS,34.97,34.97,Health
2023-02-15,Butler-Campbell,63.15,63.15,Clothing
2023-02-16,Amazon,296.3,296.3,Electronics
2023-02-17,Robertson-Dawson,28.44,28.44,Dining
2023-02-18,Mckay-Rose,89.68,29.89,Health
2023-02-23,Starbucks,45.55,45.55,Dining
2023-02-24,Apple,843.03,281.01,Electronics
2023-02-25,Apple,406.69,406.69,Electronics
2023-02-27,Duncan PLC,37.55,37.55,Entertainment
2023-03-03,McDonald's,57.75,57.75,Dining
2023-03-06,Olsen-Hernandez,416.01,416.01,Travel
2023-03-09,Amazon,400.54,400.54,Electronics
2023-03-12,Amazon,874.69,874.69,Electronics
2023-03-16,CVS,58.79,58.79,Health
2023-03-17,Target,124.76,124.76,Groceries
2023-03-19,CVS,83.49,41.74,Health
2023-03-24,Apple,332.64,110.88,Electronics
2023-03-26,IKEA,58.03,58.03,Home
2023-03-27,Wilcox-Bradley,55.95,55.95,Dining
2023-03-29,Uber,333.81,333.81,Travel
2023-03-31,Delta Airlines,63.8,63.8,Travel
