date,business_name,amount_of_deal,amount_paid,category
2023-01-03,CVS,10.55,5.28,Health
2023-01-06,Amazon,835.92,835.92,Electronics
2023-01-07,McDonald's,20.31,20.31,Dining
2023-01-10,"Grimes, Juarez and Berger",22.68,11.34,Entertainment
2023-01-11,Uber,233.53,233.53,Travel
2023-01-12,Smith-Lane,235.36,235.36,Travel
2023-01-16,McDonald's,34.11,34.11,Dining
2023-01-18,H&M,31.59,31.59,Clothing
2023-01-24,Zara,140.72,140.72,Clothing
2023-01-25,Amazon,142.96,142.96,Electronics
2023-01-29,Apple,906.33,906.33,Electronics
2023-01-30,Adidas,83.17,83.17,Clothing
2023-02-01,Nike,39.3,39.3,Clothing
2023-02-02,Holland and Sons,58.38,58.38,Groceries
2023-02-03,Miller-Miller,184.52,184.52,Home
2023-02-12,"Smith, Wong and Lee",51.58,51.58,Travel
2023-02-14,Amazon,948.12,948.12,Electronics
2023-02-17,Chapman-Matthews,64.01,64.01,Entertainment
2023-02-18,Miller LLC,456.13,456.13,Travel
2023-02-19,Delta Airlines,140.0,140.0,Travel
2023-02-20,"Gill, Mcneil and Smith",902.93,451.46,Electronics
2023-02-21,IKEA,263.09,263.09,Home
2023-02-24,"Bates, Salazar and Strickland",100.87,100.87,Clothing
2023-02-25,Adidas,111.51,111.51,Clothing
2023-02-27,Maxwell Inc,105.06,105.06,Home
2023-03-02,Walgreens,61.13,61.13,Health
2023-03-03,Webb-Moreno,213.68,71.23,Home
2023-03-04,Huffman-Pittman,383.14,383.14,Electronics
2023-03-12,Walmart,114.67,38.22,Groceries
2023-03-13,Nike,96.61,32.2,Clothing
2023-03-15,Apple,717.84,717.84,Electronics
2023-03-16,Amazon,143.66,71.83,Electronics
2023-03-17,Apple,591.77,591.77,Electronics
2023-03-20,CVS,86.16,43.08,Health
2023-03-21,CVS,94.37,94.37,Health
2023-03-27,Apple,498.82,498.82,Electronics
2023-03-29,Forbes PLC,52.36,52.36,Dining
2023-03-31,Starbucks,58.82,58.82,Dining
