date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Walmart,23.11,7.7,Groceries
2023-01-03,Uber,418.27,139.42,Travel
2023-01-05,Hernandez Ltd,52.0,52.0,Travel
2023-01-06,CVS,46.8,46.8,Health
2023-01-08,Clements-Moore,307.44,307.44,Home
2023-01-14,H&M,176.95,176.95,Clothing
2023-01-17,Williams Inc,48.23,48.23,Dining
2023-01-19,Target,116.93,116.93,Groceries
2023-01-23,Adidas,56.4,56.4,Clothing
2023-01-24,Target,113.07,113.07,Groceries
2023-01-25,Zara,163.91,81.95,Clothing
2023-01-28,Walgreens,31.77,10.59,Health
2023-01-29,Starbucks,26.15,26.15,Dining
2023-01-30,McDonald's,55.82,55.82,Dining
2023-02-02,Walgreens,14.56,14.56,Health
2023-02-04,Lewis Inc,13.99,13.99,Dining
2023-02-09,Walmart,132.72,132.72,Groceries
2023-02-10,IKEA,225.91,225.91,Home
2023-02-11,Starbucks,49.48,49.48,Dining
2023-02-12,Target,36.96,12.32,Groceries
2023-02-15,Walgreens,44.13,44.13,Health
2023-02-21,Adidas,113.84,113.84,Clothing
2023-02-25,Flynn-Pace,85.38,85.38,Home
2023-02-26,King-Joseph,90.59,90.59,Health
2023-02-28,Nike,55.91,27.95,Clothing
2023-03-02,Starbucks,46.46,46.46,Dining
2023-03-03,Moore-Holmes,10.36,10.36,Dining
2023-03-04,Kelley-White,89.63,89.63,Entertainment
2023-03-05,CVS,28.2,28.2,Health
2023-03-09,Jones Ltd,393.47,393.47,Travel
2023-03-11,Amazon,730.95,730.95,Electronics
2023-03-16,Nike,175.78,175.78,Clothing
2023-03-17,CVS,74.11,74.11,Health
2023-03-24,McDonald's,13.99,13.99,Dining
2023-03-25,Zara,198.05,198.05,Clothing
2023-03-30,Wallace-Lowe,222.26,222.26,Travel
2023-03-31,Amazon,631.71,631.71,Electronics
