date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Clarke-Yu,457.32,457.32,Travel
2023-01-02,H&M,171.88,57.29,Clothing
2023-01-03,McDonald's,44.54,44.54,Dining
2023-01-07,Walgreens,86.66,43.33,Health
2023-01-11,Walmart,115.47,115.47,Groceries
2023-01-18,Johnson Inc,36.47,36.47,Health
2023-01-21,IKEA,168.44,168.44,Home
2023-01-22,IKEA,311.36,311.36,Home
2023-01-23,Starbucks,56.58,56.58,Dining
2023-01-24,Delta Airlines,420.37,140.12,Travel
2023-01-27,"Wells, Brewer and Acevedo",57.81,57.81,Travel
2023-01-30,Walgreens,94.18,94.18,Health
2023-02-02,Nike,162.67,162.67,Clothing
2023-02-03,Walgreens,65.75,65.75,Health
2023-02-04,Jones PLC,32.16,10.72,Dining
2023-02-09,Starbucks,18.3,18.3,Dining
2023-02-11,Sanchez-Gray,26.32,8.77,Dining
2023-02-14,Adidas,129.37,129.37,Clothing
2023-02-16,CVS,38.96,38.96,Health
2023-02-20,Horton-Welch,23.01,23.01,Health
2023-02-21,Walmart,80.79,80.79,Groceries
2023-02-22,Adidas,110.26,55.13,Clothing
2023-02-25,Starbucks,14.93,4.98,Dining
2023-03-01,Delta Airlines,168.29,56.1,Travel
2023-03-02,Nike,191.21,191.21,Clothing
2023-03-05,Walgreens,88.51,88.51,Health
2023-03-06,Amazon,213.17,213.17,Electronics
2023-03-07,H&M,171.82,171.82,Clothing
2023-03-09,Howard Group,290.27,290.27,Travel
2023-03-10,Walmart,119.96,119.96,Groceries
2023-03-13,Nike,38.48,38.48,Clothing
2023-03-14,Zara,121.23,121.23,Clothing
2023-03-18,H&M,164.95,164.95,Clothing
2023-03-23,Amazon,139.61,139.61,Electronics
2023-03-24,Uber,246.53,246.53,Travel
2023-03-30,Starbucks,50.73,50.73,Dining
