date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Uber,377.3,377.3,Travel
2023-01-02,Amazon,255.08,255.08,Electronics
2023-01-04,Walgreens,19.02,19.02,Health
2023-01-08,McDonald's,11.83,11.83,Dining
2023-01-09,Tate-Mccoy,76.84,76.84,Travel
2023-01-12,Roach Ltd,640.31,640.31,Electronics
2023-01-14,Uber,265.19,265.19,Travel
2023-01-18,Ellison Inc,175.68,175.68,Clothing
2023-01-22,Uber,404.15,404.15,Travel
2023-01-26,Starbucks,56.69,56.69,Dining
2023-02-01,Delta Airlines,443.15,443.15,Travel
2023-02-03,CVS,97.68,97.68,Health
2023-02-04,Apple,979.74,979.74,Electronics
2023-02-06,Starbucks,33.36,33.36,Dining
2023-02-07,Freeman-Walker,20.36,20.36,Health
2023-02-08,"Murphy, Smith and Garcia",193.81,193.81,Travel
2023-02-11,Chen-Banks,62.58,31.29,Clothing
2023-02-13,Target,105.88,52.94,Groceries
2023-02-14,Adidas,159.98,159.98,Clothing
2023-02-15,Uber,401.55,401.55,Travel
2023-02-16,Parker-Arias,100.59,100.59,Groceries
2023-02-18,Target,56.56,56.56,Groceries
2023-02-20,Starbucks,55.68,55.68,Dining
2023-02-23,Hill Ltd,487.52,487.52,Electronics
2023-02-24,Bell-Robles,196.53,196.53,Clothing
2023-02-25,IKEA,177.61,177.61,Home
2023-02-27,Walmart,127.08,127.08,Groceries
2023-02-28,Apple,758.18,758.18,Electronics
2023-03-01,Apple,249.08,249.08,Electronics
2023-03-04,Zara,156.7,156.7,Clothing
2023-03-05,"Walker, Brown and Chang",36.72,36.72,Home
2023-03-07,Delta Airlines,442.96,442.96,Travel
2023-03-08,Tate-Mendez,93.13,93.13,Health
2023-03-10,McDonald's,11.98,11.98,Dining
2023-03-16,Walgreens,94.13,94.13,Health
2023-03-17,Smith-Velez,55.56,55.56,Groceries
2023-03-18,CVS,83.09,83.09,Health
2023-03-19,McDonald's,15.29,15.29,Dining
2023-03-20,IKEA,176.61,176.61,Home
2023-03-21,Starbucks,33.1,33.1,Dining
