date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Johnson-Herrera,204.28,204.28,Home
2023-01-03,McDonald's,18.23,18.23,Dining
2023-01-07,Starbucks,12.7,12.7,Dining
2023-01-09,Zara,194.47,194.47,Clothing
2023-01-10,"Fitzpatrick, Williams and Gomez",87.06,87.06,Clothing
2023-01-11,Walgreens,27.98,27.98,Health
2023-01-13,Vasquez PLC,686.71,686.71,Electronics
2023-01-16,Perez-Murray,149.24,149.24,Groceries
2023-01-18,Stevens PLC,465.05,232.53,Travel
2023-01-19,Zara,124.65,124.65,Clothing
2023-01-20,Apple,271.18,271.18,Electronics
2023-01-21,Perry and Sons,40.31,40.31,Dining
2023-01-22,Castillo-Nelson,76.13,76.13,Groceries
2023-01-23,Delta Airlines,329.51,329.51,Travel
2023-01-25,Moore-Roberts,13.65,13.65,Dining
2023-01-28,Zara,36.42,12.14,Clothing
2023-02-04,Sherman-Taylor,65.86,65.86,Home
2023-02-08,Adidas,110.0,110.0,Clothing
2023-02-12,Target,26.65,8.88,Groceries
2023-02-13,"Peters, Kelly and Campbell",775.4,775.4,Electronics
2023-02-14,CVS,79.29,79.29,Health
2023-02-16,Starbucks,51.31,25.66,Dining
2023-02-17,Uber,315.79,315.79,Travel
2023-02-18,Nike,195.78,65.26,Clothing
2023-02-20,Lambert-Cooper,52.22,52.22,Dining
2023-02-21,Zara,87.72,87.72,Clothing
2023-02-23,Delta Airlines,385.78,385.78,Travel
2023-02-25,Target,26.51,26.51,Groceries
2023-02-26,Zara,190.64,190.64,Clothing
2023-03-02,IKEA,115.31,57.66,Home
2023-03-06,Apple,821.62,273.87,Electronics
2023-03-08,Starbucks,31.04,31.04,Dining
2023-03-09,"Murphy, Fletcher and Hall",64.75,32.38,Entertainment
2023-03-11,Jackson and Sons,32.87,32.87,Entertainment
2023-03-12,IKEA,315.77,315.77,Home
2023-03-13,H&M,37.95,37.95,Clothing
2023-03-14,Starbucks,28.7,28.7,Dining
2023-03-20,"Hughes, Robinson and Wang",63.31,21.1,Groceries
2023-03-21,Amazon,457.69,457.69,Electronics
2023-03-25,Target,145.61,145.61,Groceries
2023-03-27,Starbucks,26.89,26.89,Dining
2023-03-28,H&M,124.19,124.19,Clothing
2023-03-29,Target,39.07,19.54,Groceries
2023-03-30,"Martinez, Johnson and Brock",89.2,89.2,Health
