date,business_name,amount_of_deal,amount_paid,category
2023-01-02,IKEA,65.84,65.84,Home
2023-01-04,"King, Jordan and Moore",85.16,28.39,Travel
2023-01-05,Taylor-Jones,66.81,66.81,Entertainment
2023-01-07,"Campbell, Barrett and Mason",85.11,85.11,Groceries
2023-01-10,Walmart,148.12,148.12,Groceries
2023-01-12,Cannon-Collins,128.04,128.04,Groceries
2023-01-13,Amazon,722.53,722.53,Electronics
2023-01-15,H&M,125.87,125.87,Clothing
2023-01-16,Walmart,82.16,82.16,Groceries
2023-01-17,Nike,129.01,129.01,Clothing
2023-01-18,Vincent-Mayer,111.72,111.72,Clothing
2023-01-20,Rosales-Combs,70.47,70.47,Entertainment
2023-01-21,Walgreens,39.1,39.1,Health
2023-01-23,Haney Inc,499.9,499.9,Travel
2023-01-24,CVS,90.83,45.41,Health
2023-01-26,Delta Airlines,437.7,437.7,Travel
2023-01-30,"Benitez, Cooper and Vasquez",486.76,486.76,Travel
2023-02-02,McDonald's,24.56,24.56,Dining
2023-02-05,Kelly-Ward,29.04,29.04,Groceries
2023-02-06,"Hansen, Mathis and Richardson",47.79,47.79,Groceries
2023-02-07,H&M,177.21,177.21,Clothing
2023-02-13,Lee-Lawson,57.57,28.79,Health
2023-02-14,CVS,16.99,16.99,Health
2023-02-18,CVS,10.9,10.9,Health
2023-02-19,IKEA,109.28,109.28,Home
2023-02-20,McDonald's,33.34,33.34,Dining
2023-02-22,Apple,275.35,275.35,Electronics
2023-02-25,Delta Airlines,401.26,401.26,Travel
2023-02-26,Martin LLC,67.01,67.01,Clothing
2023-03-05,Uber,119.57,119.57,Travel
2023-03-08,Walmart,95.23,95.23,Groceries
2023-03-09,H&M,147.64,147.64,Clothing
2023-03-10,Conner-Anthony,57.26,28.63,Dining
2023-03-14,McDonald's,25.77,12.88,Dining
2023-03-25,Adidas,80.49,80.49,Clothing
2023-03-29,IKEA,220.04,220.04,Home
2023-03-31,Apple,644.39,644.39,Electronics
