date,business_name,amount_of_deal,amount_paid,category
2023-01-02,Clark-Harris,329.29,109.76,Travel
2023-01-05,Apple,149.36,149.36,Electronics
2023-01-06,"Cooper, Rivera and Chen",302.58,302.58,Home
2023-01-08,Hale Group,456.78,456.78,Travel
2023-01-12,Amazon,518.23,259.12,Electronics
2023-01-13,Hawkins Group,150.16,150.16,Travel
2023-01-14,Walmart,144.45,144.45,Groceries
2023-01-21,McDonald's,37.57,37.57,Dining
2023-01-23,McDonald's,23.01,23.01,Dining
2023-01-24,Zara,56.39,28.2,Clothing
2023-01-27,Nike,54.01,27.0,Clothing
2023-01-28,Williams Group,626.51,626.51,Electronics
2023-02-01,Amazon,998.81,998.81,Electronics
2023-02-02,Delta Airlines,126.86,63.43,Travel
2023-02-05,Castro-Smith,43.71,43.71,Dining
2023-02-07,CVS,57.36,57.36,Health
2023-02-10,"Green, Perry and Ellis",53.45,53.45,Entertainment
2023-02-11,CVS,40.11,40.11,Health
2023-02-12,Daniels Inc,573.75,191.25,Electronics
2023-02-15,Delta Airlines,135.53,135.53,Travel
2023-02-19,Walmart,91.62,91.62,Groceries
2023-02-21,Ellis Inc,901.0,901.0,Electronics
2023-02-22,Target,21.92,21.92,Groceries
2023-02-25,Nike,168.88,168.88,Clothing
2023-03-04,Mason-Meyer,104.29,104.29,Groceries
2023-03-07,Walmart,48.02,48.02,Groceries
2023-03-10,H&M,82.55,82.55,Clothing
2023-03-12,"Wilson, Valdez and Smith",118.89,118.89,Groceries
2023-03-15,McDonald's,14.33,14.33,Dining
2023-03-16,Zara,149.48,49.83,Clothing
2023-03-17,Walgreens,72.11,72.11,Health
2023-03-23,Uber,165.24,165.24,Travel
2023-03-27,Wilson LLC,61.52,61.52,Travel
2023-03-28,H&M,191.86,191.86,Clothing
2023-03-30,Schmitt-Riley,98.98,98.98,Health
