date,income,expense,balance,description
2023-01-01,0.0,94.16,4129.25,Bill Payment
2023-01-05,6653.76,0.0,10783.01,Salary
2023-01-07,0.0,71.07,10711.94,ATM Withdrawal
2023-01-12,0.0,38.62,10673.32,Wire Transfer
2023-01-15,0.0,50.48,10622.84,Wire Transfer
2023-01-17,0.0,24.9,10597.94,ATM Withdrawal
2023-01-21,0.0,90.69,10507.25,Wire Transfer
2023-01-22,7.0,0.0,10514.25,Interest Payment
2023-01-22,0.0,116.15,10398.1,ATM Withdrawal
2023-01-28,0.0,3040.44,18791.11,Credit Card Payment
2023-02-05,6723.64,0.0,17121.74,Salary
2023-02-05,0.0,89.0,17032.74,Wire Transfer
2023-02-07,0.0,140.16,16892.58,ATM Withdrawal
2023-02-13,0.0,57.89,16834.69,Bill Payment
2023-02-20,0.0,120.52,16714.17,ATM Withdrawal
2023-02-22,6.66,0.0,16720.83,Interest Payment
2023-02-23,0.0,144.44,16576.39,Wire Transfer
2023-02-26,0.0,104.69,16471.7,Bill Payment
2023-02-27,0.0,143.23,16328.47,Bill Payment
2023-02-28,0.0,2118.4,16672.71,Credit Card Payment
2023-03-01,0.0,50.28,16278.19,ATM Withdrawal
2023-03-03,0.0,118.05,16160.14,ATM Withdrawal
2023-03-05,6463.59,0.0,22623.73,Salary
2023-03-05,0.0,92.9,22530.83,ATM Withdrawal
2023-03-06,0.0,143.79,22387.04,Bill Payment
2023-03-08,0.0,124.64,22262.4,Bill Payment
2023-03-14,0.0,62.94,22199.46,ATM Withdrawal
2023-03-22,8.84,0.0,22208.3,Interest Payment
2023-03-23,0.0,106.19,22102.11,Bill Payment
2023-03-24,0.0,120.51,21981.6,Bill Payment
2023-03-28,0.0,23.09,21958.51,Bill Payment
2023-03-28,0.0,2571.18,14101.53,Credit Card Payment
2023-03-30,0.0,126.96,21831.55,ATM Withdrawal
2023-04-28,0.0,139.27,13962.26,Credit Card Payment
2023-05-28,0.0,57.35,13904.91,Credit Card Payment
