date,business_name,amount_of_deal,amount_paid,category
2023-01-01,Amazon,973.46,486.73,Electronics
2023-01-02,Patel LLC,22.95,22.95,Dining
2023-01-04,Nike,84.93,84.93,Clothing
2023-01-12,Gibson-Patterson,178.65,178.65,Home
2023-01-19,IKEA,118.72,118.72,Home
2023-01-21,Harris-Jimenez,31.88,15.94,Groceries
2023-01-27,Nike,58.05,19.35,Clothing
2023-01-30,Starbucks,11.22,11.22,Dining
2023-01-31,"Williams, Hernandez and Brown",32.81,32.81,Health
2023-02-07,CVS,17.21,17.21,Health
2023-02-10,Orr-Steele,25.28,25.28,Health
2023-02-11,IKEA,105.91,105.91,Home
2023-02-12,Nike,101.11,101.11,Clothing
2023-02-13,Target,67.88,67.88,Groceries
2023-02-14,Starbucks,23.36,23.36,Dining
2023-02-15,Duncan-Butler,181.54,181.54,Clothing
2023-02-18,Amazon,818.5,818.5,Electronics
2023-02-20,Zara,108.01,108.01,Clothing
2023-02-22,Apple,327.59,327.59,Electronics
2023-02-23,McDonald's,40.22,40.22,Dining
2023-03-04,Pennington LLC,287.02,287.02,Home
2023-03-05,Zara,60.57,60.57,Clothing
2023-03-06,Pruitt LLC,543.69,543.69,Electronics
2023-03-08,Zara,115.57,115.57,Clothing
2023-03-10,H&M,150.63,150.63,Clothing
2023-03-14,Starbucks,38.73,38.73,Dining
2023-03-19,Delta Airlines,231.08,115.54,Travel
2023-03-22,Amazon,670.85,223.62,Electronics
2023-03-23,Glover and Sons,716.98,716.98,Electronics
2023-03-25,Starbucks,39.38,39.38,Dining
2023-03-29,Obrien-Frederick,15.84,15.84,Entertainment
