date,income,expense,balance,description
2023-01-01,0.0,46.51,4768.51,Bill Payment
2023-01-03,0.0,134.07,4634.44,ATM Withdrawal
2023-01-04,0.0,105.97,4528.47,Wire Transfer
2023-01-05,3511.82,0.0,8040.29,Salary
2023-01-12,0.0,88.94,7951.35,ATM Withdrawal
2023-01-22,0.0,88.74,7862.61,Bill Payment
2023-01-25,0.0,57.85,7804.76,Bill Payment
2023-01-26,4.69,0.0,7809.45,Interest Payment
2023-01-26,0.0,59.03,7750.42,Bill Payment
2023-01-28,0.0,54.32,7696.1,ATM Withdrawal
2023-01-28,0.0,2287.15,11088.88,Credit Card Payment
2023-01-29,0.0,141.24,7554.86,ATM Withdrawal
2023-02-04,0.0,139.96,7414.9,ATM Withdrawal
2023-02-05,3596.28,0.0,11011.18,Salary
2023-02-05,0.0,75.28,10935.9,ATM Withdrawal
2023-02-07,0.0,75.1,10860.8,ATM Withdrawal
2023-02-08,0.0,126.13,10734.67,Wire Transfer
2023-02-13,0.0,118.52,10616.15,Loan Payment
2023-02-15,0.0,136.79,10479.36,Bill Payment
2023-02-17,0.0,52.08,10427.28,Wire Transfer
2023-02-26,9.74,0.0,10437.02,Interest Payment
2023-02-28,0.0,2049.07,9039.81,Credit Card Payment
2023-03-02,0.0,25.63,10411.39,ATM Withdrawal
2023-03-03,0.0,68.17,10343.22,Bill Payment
2023-03-05,3603.05,0.0,13946.27,Salary
2023-03-06,0.0,97.83,13848.44,ATM Withdrawal
2023-03-12,0.0,53.9,13794.54,Wire Transfer
2023-03-15,0.0,118.57,13675.97,ATM Withdrawal
2023-03-16,0.0,82.14,13593.83,ATM Withdrawal
2023-03-18,0.0,98.64,13495.19,Bill Payment
2023-03-21,0.0,91.53,13403.66,ATM Withdrawal
2023-03-26,6.81,0.0,13410.47,Interest Payment
2023-03-28,0.0,2146.83,6892.98,Credit Card Payment
2023-03-30,0.0,34.44,13376.03,Bill Payment
2023-04-28,0.0,125.29,6767.69,Credit Card Payment
