date,income,expense,balance,description
2023-01-03,6873.62,0.0,16555.84,Salary
2023-01-03,0.0,119.6,16436.24,Bill Payment
2023-01-09,0.0,108.07,16328.17,Bill Payment
2023-01-14,0.0,65.84,16262.33,Bill Payment
2023-01-22,8.22,0.0,16270.55,Interest Payment
2023-01-23,0.0,38.81,16231.74,Bill Payment
2023-01-26,0.0,147.73,16084.01,Bill Payment
2023-01-28,0.0,2067.8,25672.52,Credit Card Payment
2023-01-29,0.0,104.36,15979.65,Wire Transfer
2023-01-31,0.0,119.26,15860.39,ATM Withdrawal
2023-02-02,0.0,124.1,15736.29,Bill Payment
2023-02-03,6656.52,0.0,22392.81,Salary
2023-02-03,0.0,97.88,22294.93,Bill Payment
2023-02-07,0.0,80.85,22214.08,ATM Withdrawal
2023-02-08,0.0,107.37,22106.71,ATM Withdrawal
2023-02-14,0.0,86.24,22020.47,Bill Payment
2023-02-17,0.0,80.85,21939.62,ATM Withdrawal
2023-02-19,0.0,149.4,21790.22,Bill Payment
2023-02-22,9.63,0.0,21799.85,Interest Payment
2023-02-26,0.0,60.93,21738.92,ATM Withdrawal
2023-02-28,0.0,1487.24,24185.28,Credit Card Payment
2023-03-03,6555.35,0.0,28294.27,Salary
2023-03-07,0.0,60.22,28234.05,Loan Payment
2023-03-09,0.0,35.96,28198.09,Wire Transfer
2023-03-10,0.0,64.87,28133.22,ATM Withdrawal
2023-03-12,0.0,39.41,28093.81,Bill Payment
2023-03-15,0.0,39.48,28054.33,Bill Payment
2023-03-17,0.0,90.28,27964.05,Bill Payment
2023-03-22,10.0,0.0,27974.05,Interest Payment
2023-03-23,0.0,141.59,27832.46,ATM Withdrawal
2023-03-27,0.0,92.14,27740.32,ATM Withdrawal
2023-03-28,0.0,1631.32,22553.96,Credit Card Payment
2023-04-28,0.0,455.97,22097.99,Credit Card Payment
2023-05-28,0.0,124.91,21973.08,Credit Card Payment
