date,income,expense,balance,description
2023-01-04,0.0,94.69,6676.99,Bill Payment
2023-01-05,3431.41,0.0,10108.4,Salary
2023-01-08,0.0,148.15,9960.25,Bill Payment
2023-01-09,0.0,94.11,9866.14,ATM Withdrawal
2023-01-11,0.0,126.79,9739.35,ATM Withdrawal
2023-01-14,0.0,149.7,9589.65,ATM Withdrawal
2023-01-15,0.0,97.19,9492.46,ATM Withdrawal
2023-01-21,0.0,109.96,9382.5,Wire Transfer
2023-01-23,0.0,129.19,9253.31,Bill Payment
2023-01-24,0.0,130.77,9122.54,Bill Payment
2023-01-27,9.52,0.0,9132.06,Interest Payment
2023-01-28,0.0,3438.01,11177.62,Credit Card Payment
2023-02-01,0.0,30.22,9101.84,ATM Withdrawal
2023-02-05,3499.94,0.0,12601.78,Salary
2023-02-05,0.0,97.21,12504.57,ATM Withdrawal
2023-02-13,0.0,82.22,12422.35,Bill Payment
2023-02-15,0.0,40.06,12382.29,ATM Withdrawal
2023-02-23,0.0,59.56,12322.73,Bill Payment
2023-02-25,0.0,26.35,12296.38,Bill Payment
2023-02-27,4.77,0.0,12301.15,Interest Payment
2023-02-28,0.0,81.06,12220.09,Bill Payment
2023-02-28,0.0,2242.67,8934.95,Credit Card Payment
2023-03-01,0.0,46.01,12174.08,ATM Withdrawal
2023-03-03,0.0,74.04,12100.04,ATM Withdrawal
2023-03-05,3595.37,0.0,15695.41,Salary
2023-03-05,0.0,61.76,15633.65,Bill Payment
2023-03-06,0.0,149.03,15484.62,Bill Payment
2023-03-07,0.0,93.27,15391.35,Wire Transfer
2023-03-10,0.0,123.78,15267.57,Bill Payment
2023-03-11,0.0,60.67,15206.9,Bill Payment
2023-03-12,0.0,22.31,15184.59,Bill Payment
2023-03-13,0.0,148.91,15035.68,Bill Payment
2023-03-15,0.0,32.97,15002.71,Bill Payment
2023-03-17,0.0,68.4,14934.31,Bill Payment
2023-03-19,0.0,30.25,14904.06,ATM Withdrawal
2023-03-20,0.0,54.11,14849.95,Wire Transfer
2023-03-21,0.0,132.07,14717.88,Wire Transfer
2023-03-23,0.0,36.52,14681.36,Bill Payment
2023-03-27,4.08,0.0,14685.44,Interest Payment
2023-03-28,0.0,29.99,14655.45,ATM Withdrawal
2023-03-28,0.0,1559.97,7374.98,Credit Card Payment
2023-03-29,0.0,39.82,14615.63,Bill Payment
2023-04-28,0.0,87.75,7287.23,Credit Card Payment
2023-05-28,0.0,68.52,7218.71,Credit Card Payment
