date,income,expense,balance,description
2023-01-03,3104.39,0.0,7999.51,Salary
2023-01-04,0.0,40.04,7959.47,ATM Withdrawal
2023-01-07,0.0,116.95,7842.52,Wire Transfer
2023-01-08,0.0,77.53,7764.99,Wire Transfer
2023-01-14,0.0,85.76,7679.23,Wire Transfer
2023-01-15,0.0,54.92,7624.31,Loan Payment
2023-01-16,0.0,43.66,7580.65,Bill Payment
2023-01-17,0.0,102.33,7478.32,Wire Transfer
2023-01-24,8.6,0.0,7486.92,Interest Payment
2023-01-24,0.0,64.77,7422.15,Wire Transfer
2023-01-26,0.0,64.48,7357.67,ATM Withdrawal
2023-01-28,0.0,962.41,11072.99,Credit Card Payment
2023-01-31,0.0,33.52,7324.15,Bill Payment
2023-02-03,3115.26,0.0,10439.41,Salary
2023-02-05,0.0,107.25,10332.16,Bill Payment
2023-02-06,0.0,98.3,10233.86,ATM Withdrawal
2023-02-12,0.0,36.74,10197.12,Bill Payment
2023-02-15,0.0,135.84,10061.28,Bill Payment
2023-02-16,0.0,107.58,9953.7,Wire Transfer
2023-02-18,0.0,105.27,9848.43,Bill Payment
2023-02-24,4.97,0.0,9853.4,Interest Payment
2023-02-28,0.0,29.66,9823.74,ATM Withdrawal
2023-02-28,0.0,1183.9,9889.09,Credit Card Payment
2023-03-03,3218.22,0.0,13041.96,Salary
2023-03-03,0.0,104.51,12937.45,ATM Withdrawal
2023-03-13,0.0,82.17,12855.28,ATM Withdrawal
2023-03-17,0.0,137.01,12718.27,ATM Withdrawal
2023-03-18,0.0,123.99,12594.28,Bill Payment
2023-03-19,0.0,124.14,12470.14,Bill Payment
2023-03-20,0.0,98.11,12372.03,Bill Payment
2023-03-21,0.0,80.02,12292.01,Bill Payment
2023-03-22,0.0,120.53,12171.48,Bill Payment
2023-03-24,9.95,0.0,12181.43,Interest Payment
2023-03-24,0.0,57.7,12123.73,Wire Transfer
2023-03-25,0.0,88.33,12035.4,Bill Payment
2023-03-28,0.0,2061.79,7827.3,Credit Card Payment
2023-04-28,0.0,143.75,7683.55,Credit Card Payment
