date,business_name,amount_of_deal,amount_paid,category
2023-01-01,IKEA,97.3,97.3,Home
2023-01-02,"Callahan, Miller and Harper",916.16,916.16,Electronics
2023-01-04,IKEA,92.95,92.95,Home
2023-01-10,"Bauer, Flores and Adams",655.91,655.91,Electronics
2023-01-12,IKEA,390.53,390.53,Home
2023-01-15,McDonald's,58.36,58.36,Dining
2023-01-16,Target,69.52,69.52,Groceries
2023-01-17,Hardin Inc,95.46,95.46,Groceries
2023-01-19,Adidas,103.6,103.6,Clothing
2023-01-31,Atkinson Group,105.64,35.21,Travel
2023-02-01,"Smith, Mays and Taylor",625.19,625.19,Electronics
2023-02-04,Walmart,128.81,64.41,Groceries
2023-02-07,Nike,85.24,85.24,Clothing
2023-02-09,McDonald's,24.15,24.15,Dining
2023-02-11,Apple,968.54,968.54,Electronics
2023-02-13,Zara,155.1,155.1,Clothing
2023-02-15,Apple,540.66,540.66,Electronics
2023-02-20,Starbucks,56.53,56.53,Dining
2023-02-21,Walmart,137.94,137.94,Groceries
2023-02-23,Walmart,139.25,139.25,Groceries
2023-02-27,Burnett Inc,96.43,32.14,Home
2023-02-28,Sanchez-Calderon,260.81,260.81,Home
2023-03-03,Nike,108.23,108.23,Clothing
2023-03-05,Burgess-Estrada,72.16,72.16,Entertainment
2023-03-08,Nike,140.27,140.27,Clothing
2023-03-10,Nike,55.19,55.19,Clothing
2023-03-12,Apple,281.2,281.2,Electronics
2023-03-13,McDonald's,52.38,52.38,Dining
2023-03-16,Adidas,130.48,130.48,Clothing
2023-03-20,Harris-Weaver,90.02,30.01,Health
2023-03-30,CVS,77.43,77.43,Health
2023-03-31,Nike,81.62,81.62,Clothing
