date,income,expense,balance,description
2023-01-03,5915.7,0.0,7479.28,Salary
2023-01-04,0.0,144.86,7334.42,ATM Withdrawal
2023-01-07,0.0,101.43,7232.99,ATM Withdrawal
2023-01-10,0.0,24.53,7208.46,Wire Transfer
2023-01-19,0.0,135.55,7072.91,Bill Payment
2023-01-27,6.76,0.0,7079.67,Interest Payment
2023-01-28,0.0,29.56,7050.11,Bill Payment
2023-01-28,0.0,3261.78,13895.19,Credit Card Payment
2023-01-29,0.0,59.06,6991.05,ATM Withdrawal
2023-01-30,0.0,85.09,6905.96,ATM Withdrawal
2023-01-31,0.0,72.16,6833.8,Bill Payment
2023-02-01,0.0,105.24,6728.56,Loan Payment
2023-02-03,5994.3,0.0,12722.86,Salary
2023-02-04,0.0,147.03,12575.83,Bill Payment
2023-02-07,0.0,27.13,12548.7,Wire Transfer
2023-02-11,0.0,119.86,12428.84,Bill Payment
2023-02-25,0.0,148.53,12280.31,Bill Payment
2023-02-26,0.0,56.45,12223.86,Bill Payment
2023-02-27,6.76,0.0,12230.62,Interest Payment
2023-02-28,0.0,1109.83,12785.36,Credit Card Payment
2023-03-03,5794.53,0.0,18025.15,Salary
2023-03-04,0.0,106.37,17918.78,Bill Payment
2023-03-07,0.0,23.44,17895.34,Bill Payment
2023-03-11,0.0,126.05,17769.29,Bill Payment
2023-03-12,0.0,129.05,17640.24,ATM Withdrawal
2023-03-18,0.0,37.94,17602.3,Bill Payment
2023-03-22,0.0,101.83,17500.47,Bill Payment
2023-03-23,0.0,128.7,17371.77,Wire Transfer
2023-03-24,0.0,83.18,17288.59,Wire Transfer
2023-03-27,2.96,0.0,17291.55,Interest Payment
2023-03-27,0.0,39.72,17251.83,Bill Payment
2023-03-28,0.0,2884.71,9900.65,Credit Card Payment
2023-03-29,0.0,94.86,17156.97,Bill Payment
2023-04-28,0.0,45.45,9855.2,Credit Card Payment
2023-05-28,0.0,13.6,9841.6,Credit Card Payment
