date,income,expense,balance,description
2023-01-01,0.0,66.87,8892.01,Bill Payment
2023-01-02,5630.35,0.0,14522.36,Salary
2023-01-03,0.0,43.73,14478.63,Bill Payment
2023-01-06,0.0,66.05,14412.58,ATM Withdrawal
2023-01-09,0.0,45.15,14367.43,ATM Withdrawal
2023-01-12,0.0,140.55,14226.88,Bill Payment
2023-01-17,0.0,138.56,14088.32,ATM Withdrawal
2023-01-18,0.0,149.02,13939.3,Wire Transfer
2023-01-20,8.09,0.0,13947.39,Interest Payment
2023-01-20,0.0,77.84,13869.55,Bill Payment
2023-01-22,0.0,46.78,13822.77,ATM Withdrawal
2023-01-24,0.0,34.99,13787.78,Wire Transfer
2023-01-25,0.0,23.65,13764.13,ATM Withdrawal
2023-01-28,0.0,140.17,13623.96,Bill Payment
2023-01-28,0.0,913.73,22435.72,Credit Card Payment
2023-02-02,5835.09,0.0,19459.05,Salary
2023-02-05,0.0,63.69,19395.36,ATM Withdrawal
2023-02-06,0.0,138.69,19256.67,Loan Payment
2023-02-12,0.0,42.69,19213.98,ATM Withdrawal
2023-02-16,0.0,74.42,19139.56,Wire Transfer
2023-02-17,0.0,61.34,19078.22,ATM Withdrawal
2023-02-20,6.59,0.0,19084.81,Interest Payment
2023-02-20,0.0,141.09,18943.72,ATM Withdrawal
2023-02-22,0.0,33.62,18910.1,Bill Payment
2023-02-23,0.0,81.87,18828.23,Bill Payment
2023-02-24,0.0,120.51,18707.72,ATM Withdrawal
2023-02-25,0.0,36.53,18671.19,Loan Payment
2023-02-27,0.0,72.13,18599.06,ATM Withdrawal
2023-02-28,0.0,996.11,21439.61,Credit Card Payment
2023-03-02,5588.64,0.0,24187.7,Salary
2023-03-05,0.0,29.8,24157.9,Wire Transfer
2023-03-12,0.0,67.54,24090.36,ATM Withdrawal
2023-03-13,0.0,127.16,23963.2,ATM Withdrawal
2023-03-20,4.24,0.0,23967.44,Interest Payment
2023-03-21,0.0,53.22,23914.22,ATM Withdrawal
2023-03-22,0.0,118.82,23795.4,ATM Withdrawal
2023-03-26,0.0,107.07,23688.33,Wire Transfer
2023-03-28,0.0,133.31,23555.02,Wire Transfer
2023-03-28,0.0,3564.23,17875.38,Credit Card Payment
2023-03-30,0.0,121.11,23433.91,Bill Payment
2023-03-31,0.0,84.46,23349.45,Bill Payment
2023-04-28,0.0,381.19,17494.19,Credit Card Payment
