date,business_name,amount_of_deal,amount_paid,category
2023-01-04,Starbucks,47.73,47.73,Dining
2023-01-05,Walgreens,34.67,17.34,Health
2023-01-12,"Lawrence, Hancock and Rivera",73.82,24.61,Groceries
2023-01-13,Adidas,185.47,185.47,Clothing
2023-01-15,Amazon,361.32,361.32,Electronics
2023-01-18,"Jarvis, Brown and Alvarado",107.2,107.2,Clothing
2023-01-22,Arnold Group,90.11,90.11,Health
2023-01-23,Gregory LLC,21.65,21.65,Health
2023-01-24,Garza-White,22.34,22.34,Health
2023-01-25,Target,87.87,87.87,Groceries
2023-01-29,Starbucks,51.96,51.96,Dining
2023-01-30,Uber,213.77,213.77,Travel
2023-01-31,Pittman and Sons,195.03,195.03,Travel
2023-02-01,"Gonzalez, Finley and Gomez",20.09,20.09,Groceries
2023-02-03,Starbucks,15.4,15.4,Dining
2023-02-04,"Black, Howe and Dalton",397.41,397.41,Electronics
2023-02-06,Apple,234.48,234.48,Electronics
2023-02-07,Starbucks,56.07,56.07,Dining
2023-02-10,"West, Mathis and Reynolds",219.44,219.44,Home
2023-02-14,Liu and Sons,118.32,59.16,Groceries
2023-02-18,Zara,55.6,55.6,Clothing
2023-02-19,Walgreens,65.49,65.49,Health
2023-02-20,H&M,161.97,161.97,Clothing
2023-02-22,Adidas,54.43,54.43,Clothing
2023-02-24,IKEA,73.2,73.2,Home
2023-03-01,Zara,110.38,110.38,Clothing
2023-03-02,Adidas,194.88,194.88,Clothing
2023-03-05,Carlson-Hernandez,745.1,745.1,Electronics
2023-03-06,Walgreens,73.84,73.84,Health
2023-03-07,Moore LLC,22.85,22.85,Dining
2023-03-10,CVS,51.52,51.52,Health
2023-03-12,"Lopez, Andrade and Smith",163.53,163.53,Clothing
2023-03-13,Amazon,771.68,771.68,Electronics
2023-03-14,Nike,91.93,91.93,Clothing
2023-03-18,Jackson LLC,102.02,102.02,Travel
2023-03-21,Starbucks,19.31,19.31,Dining
2023-03-24,Dillon LLC,817.8,817.8,Electronics
2023-03-26,Apple,462.42,462.42,Electronics
2023-03-28,"Gregory, Morales and Rogers",96.61,48.3,Health
