date,income,expense,balance,description
2023-01-01,0.0,83.64,2547.74,Bill Payment
2023-01-03,5734.62,0.0,8282.36,Salary
2023-01-03,0.0,145.73,8136.63,Wire Transfer
2023-01-08,0.0,55.04,8081.59,Bill Payment
2023-01-09,0.0,93.83,7987.76,Bill Payment
2023-01-11,0.0,104.14,7883.62,Wire Transfer
2023-01-15,0.0,39.23,7844.39,ATM Withdrawal
2023-01-19,0.0,64.0,7780.39,Wire Transfer
2023-01-20,0.0,41.16,7739.23,Bill Payment
2023-01-23,2.81,0.0,7742.04,Interest Payment
2023-01-28,0.0,1276.43,16361.79,Credit Card Payment
2023-01-31,0.0,29.93,7712.11,Wire Transfer
2023-02-02,0.0,54.67,7657.44,ATM Withdrawal
2023-02-03,5813.59,0.0,13471.03,Salary
2023-02-03,0.0,140.32,13330.71,Wire Transfer
2023-02-08,0.0,146.87,13183.84,ATM Withdrawal
2023-02-14,0.0,37.79,13146.05,Bill Payment
2023-02-17,0.0,145.97,13000.08,ATM Withdrawal
2023-02-18,0.0,28.67,12971.41,Bill Payment
2023-02-20,0.0,129.55,12841.86,ATM Withdrawal
2023-02-23,9.31,0.0,12851.17,Interest Payment
2023-02-23,0.0,28.68,12822.49,Bill Payment
2023-02-25,0.0,65.54,12756.95,ATM Withdrawal
2023-02-28,0.0,2670.51,13691.28,Credit Card Payment
2023-03-03,5572.69,0.0,18329.64,Salary
2023-03-06,0.0,39.87,18289.77,Wire Transfer
2023-03-07,0.0,135.68,18154.09,Bill Payment
2023-03-09,0.0,119.13,18034.96,Loan Payment
2023-03-12,0.0,146.05,17888.91,Bill Payment
2023-03-14,0.0,124.17,17764.74,Bill Payment
2023-03-16,0.0,24.68,17740.06,ATM Withdrawal
2023-03-20,0.0,35.83,17704.23,ATM Withdrawal
2023-03-23,3.31,0.0,17707.54,Interest Payment
2023-03-28,0.0,69.32,17638.22,ATM Withdrawal
2023-03-28,0.0,1699.02,11992.26,Credit Card Payment
2023-04-28,0.0,427.86,11564.4,Credit Card Payment
2023-05-28,0.0,72.39,11492.01,Credit Card Payment
