date,business_name,amount_of_deal,amount_paid,category
2023-01-05,Adidas,99.63,99.63,Clothing
2023-01-06,Pugh PLC,390.64,390.64,Travel
2023-01-07,Nike,60.81,60.81,Clothing
2023-01-09,Target,46.24,46.24,Groceries
2023-01-12,"Hebert, Mata and Smith",230.5,230.5,Electronics
2023-01-14,IKEA,340.21,340.21,Home
2023-01-16,Uber,185.83,185.83,Travel
2023-01-19,Nelson Ltd,89.75,44.88,Health
2023-01-20,Moore-Owens,56.49,56.49,Dining
2023-01-21,Amazon,730.05,730.05,Electronics
2023-01-24,Lee-Long,42.17,21.09,Dining
2023-01-26,Uber,182.35,182.35,Travel
2023-01-27,"Johnson, Wilson and Torres",47.96,47.96,Clothing
2023-01-29,Jacobs Group,45.64,15.21,Health
2023-01-31,Walgreens,65.53,65.53,Health
2023-02-01,Apple,826.02,826.02,Electronics
2023-02-04,Warner Ltd,881.69,881.69,Electronics
2023-02-07,"Stewart, Jackson and Stark",100.64,100.64,Groceries
2023-02-09,Schneider and Sons,258.29,258.29,Home
2023-02-11,Uber,321.13,160.56,Travel
2023-02-12,Sanders-Mcgrath,734.53,734.53,Electronics
2023-02-16,Rose Group,234.61,234.61,Travel
2023-02-17,Walgreens,30.88,30.88,Health
2023-02-18,Starbucks,37.61,37.61,Dining
2023-02-21,Walmart,72.47,72.47,Groceries
2023-02-23,Target,52.46,52.46,Groceries
2023-02-24,Nike,49.39,49.39,Clothing
2023-02-25,McDonald's,57.27,57.27,Dining
2023-03-03,McDonald's,27.97,27.97,Dining
2023-03-04,"Bell, Smith and King",59.1,59.1,Entertainment
2023-03-09,IKEA,191.96,191.96,Home
2023-03-10,IKEA,85.79,28.6,Home
2023-03-13,West-Blanchard,74.0,74.0,Health
2023-03-14,Apple,102.42,51.21,Electronics
2023-03-16,"Butler, Smith and Smith",39.82,39.82,Entertainment
2023-03-18,Apple,773.09,773.09,Electronics
2023-03-19,"Moore, Williams and Khan",18.76,18.76,Dining
2023-03-20,IKEA,43.17,43.17,Home
2023-03-23,Target,136.06,136.06,Groceries
2023-03-24,Delta Airlines,432.35,216.18,Travel
2023-03-25,Rowe Ltd,481.66,481.66,Travel
2023-03-26,Graves Ltd,48.44,16.15,Health
2023-03-27,Snyder-Martin,40.98,20.49,Clothing
2023-03-28,Walgreens,60.15,60.15,Health
2023-03-29,CVS,29.22,29.22,Health
2023-03-30,Uber,368.25,368.25,Travel
2023-03-31,Nike,115.35,115.35,Clothing
